LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8xfjx       Successfully assigned default/cpu-app-bcc7f4b9c-8xfjx to kind-worker3
30m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-8xfjx       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
30m         Normal    Created                        pod/cpu-app-bcc7f4b9c-8xfjx       Container created
30m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 8; reason: pods metric http_requests_per_second above target
30m         Normal    Started                        pod/cpu-app-bcc7f4b9c-8xfjx       Container started
30m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-8xfjx
30m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-cjnzl
30m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-8vs4s
30m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      (combined from similar events): Created pod: cpu-app-bcc7f4b9c-wrcbt
30m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 4 to 8
30m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-8vs4s       Readiness probe failed: Get "http://10.244.1.5:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
30m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-8xfjx       Readiness probe failed: Get "http://10.244.2.5:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
30m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-wrcbt       Readiness probe failed: Get "http://10.244.2.6:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
24m         Normal    SuccessfulDelete               replicaset/cpu-app-bcc7f4b9c      Deleted pod: cpu-app-bcc7f4b9c-8vs4s
24m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 6; reason: All metrics below target
24m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-8vs4s       Stopping container cpu-http
24m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-sg4nw       Stopping container cpu-http
24m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled down replica set cpu-app-bcc7f4b9c from 8 to 6
24m         Normal    SuccessfulDelete               replicaset/cpu-app-bcc7f4b9c      Deleted pod: cpu-app-bcc7f4b9c-sg4nw
23m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-wrcbt       Stopping container cpu-http
23m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 4; reason: All metrics below target
23m         Normal    SuccessfulDelete               replicaset/cpu-app-bcc7f4b9c      Deleted pod: cpu-app-bcc7f4b9c-8xfjx
23m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled down replica set cpu-app-bcc7f4b9c from 6 to 4
23m         Normal    SuccessfulDelete               replicaset/cpu-app-bcc7f4b9c      Deleted pod: cpu-app-bcc7f4b9c-wrcbt
23m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-8xfjx       Stopping container cpu-http
19m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-cjnzl       Readiness probe failed: Get "http://10.244.4.6:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
19m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-cl466       Readiness probe failed: Get "http://10.244.1.4:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
19m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-4wnw5       Readiness probe failed: Get "http://10.244.4.4:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
19m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-dscv9       Readiness probe failed: Get "http://10.244.2.3:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
18m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-dscv9       Stopping container cpu-http
18m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-cl466       Stopping container cpu-http
18m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-cjnzl       Stopping container cpu-http
18m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-4wnw5       Stopping container cpu-http
18m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-slqmz       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
18m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-9mj7c
18m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-9z5hj       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
18m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9mj7c       Successfully assigned default/cpu-app-bcc7f4b9c-9mj7c to kind-worker2
18m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9z5hj       Successfully assigned default/cpu-app-bcc7f4b9c-9z5hj to kind-worker
18m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-xj8j4
18m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-9mj7c       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
18m         Normal    Created                        pod/cpu-app-bcc7f4b9c-9mj7c       Container created
18m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-9z5hj
18m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-slqmz
18m         Normal    Created                        pod/cpu-app-bcc7f4b9c-9z5hj       Container created
18m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
18m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-slqmz       Successfully assigned default/cpu-app-bcc7f4b9c-slqmz to kind-worker3
18m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-xj8j4       Successfully assigned default/cpu-app-bcc7f4b9c-xj8j4 to kind-worker2
18m         Normal    Created                        pod/cpu-app-bcc7f4b9c-slqmz       Container created
18m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-xj8j4       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
18m         Normal    Created                        pod/cpu-app-bcc7f4b9c-xj8j4       Container created
18m         Normal    Started                        pod/cpu-app-bcc7f4b9c-xj8j4       Container started
18m         Normal    Started                        pod/cpu-app-bcc7f4b9c-slqmz       Container started
18m         Normal    Started                        pod/cpu-app-bcc7f4b9c-9z5hj       Container started
18m         Normal    Started                        pod/cpu-app-bcc7f4b9c-9mj7c       Container started
17m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-slqmz       Readiness probe failed: Get "http://10.244.2.7:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
17m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/cpu-hpa   unable to get metric http_requests_per_second: no metrics returned from custom metrics API
17m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: no metrics returned from custom metrics API
17m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-9z5hj       Readiness probe failed: Get "http://10.244.4.7:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
16m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-xj8j4       Readiness probe failed: Get "http://10.244.1.7:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
16m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-slqmz       Stopping container cpu-http
16m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-9z5hj       Stopping container cpu-http
16m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-9mj7c       Stopping container cpu-http
16m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-xj8j4       Stopping container cpu-http
16m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
16m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-4h25k       Successfully assigned default/cpu-app-bcc7f4b9c-4h25k to kind-worker
16m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-bsjq4
16m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-4h25k
16m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-swcjv
16m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-fp9gh
16m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-bsjq4       Successfully assigned default/cpu-app-bcc7f4b9c-bsjq4 to kind-worker2
16m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-swcjv       Successfully assigned default/cpu-app-bcc7f4b9c-swcjv to kind-worker3
16m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-fp9gh       Successfully assigned default/cpu-app-bcc7f4b9c-fp9gh to kind-worker2
16m         Normal    Started                        pod/cpu-app-bcc7f4b9c-bsjq4       Container started
16m         Normal    Created                        pod/cpu-app-bcc7f4b9c-bsjq4       Container created
16m         Normal    Started                        pod/cpu-app-bcc7f4b9c-swcjv       Container started
16m         Normal    Created                        pod/cpu-app-bcc7f4b9c-swcjv       Container created
16m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-swcjv       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
16m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-fp9gh       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
16m         Normal    Created                        pod/cpu-app-bcc7f4b9c-4h25k       Container created
16m         Normal    Started                        pod/cpu-app-bcc7f4b9c-4h25k       Container started
16m         Normal    Created                        pod/cpu-app-bcc7f4b9c-fp9gh       Container created
16m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-bsjq4       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
16m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-4h25k       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
16m         Normal    Started                        pod/cpu-app-bcc7f4b9c-fp9gh       Container started
14m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-fp9gh       Readiness probe failed: Get "http://10.244.1.8:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
14m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (2 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
14m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/cpu-hpa   unable to get metric http_requests_per_second: no metrics returned from custom metrics API
14m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-4h25k       Readiness probe failed: Get "http://10.244.4.8:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
