LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
40m         Normal    Pulled                         pod/cpu-app-7644f97777-c67cn      Successfully pulled image "polinux/stress" in 1.977s (1.977s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-rr7r9      Successfully pulled image "polinux/stress" in 1.501s (1.967s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-vfw22      Successfully pulled image "polinux/stress" in 1.376s (1.376s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-bqhw2      Successfully pulled image "polinux/stress" in 1.517s (2.497s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-798xc      Successfully pulled image "polinux/stress" in 1.424s (2.918s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-fftpf      Successfully pulled image "polinux/stress" in 1.649s (2.614s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-g6d92      Successfully pulled image "polinux/stress" in 1.404s (1.781s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-579bw      Successfully pulled image "polinux/stress" in 1.42s (4.335s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-tl5qq      Successfully pulled image "polinux/stress" in 1.486s (3.268s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-vfwvn      Successfully pulled image "polinux/stress" in 1.455s (3.067s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-c8k8p      Successfully pulled image "polinux/stress" in 1.392s (2.729s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-x9nl4      Successfully pulled image "polinux/stress" in 1.976s (4.049s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-sfzkn      Successfully pulled image "polinux/stress" in 1.508s (1.508s including waiting). Image size: 4041495 bytes.
40m         Normal    Pulled                         pod/cpu-app-7644f97777-w2m4m      Successfully pulled image "polinux/stress" in 1.445s (1.445s including waiting). Image size: 4041495 bytes.
