timestamp,pod,cpu_millicores
1772360088,websocket-server-5f4f67c6f4-kfn6d,259
1772360093,websocket-loadgen-97prs,44
1772360093,websocket-server-5f4f67c6f4-45fb2,134
1772360093,websocket-server-5f4f67c6f4-65l82,137
1772360093,websocket-server-5f4f67c6f4-87z6g,130
1772360093,websocket-server-5f4f67c6f4-8g2fl,122
1772360093,websocket-server-5f4f67c6f4-96fbm,143
1772360093,websocket-server-5f4f67c6f4-dgcgd,158
1772360093,websocket-server-5f4f67c6f4-hd5jb,121
1772360093,websocket-server-5f4f67c6f4-kfn6d,131
1772360093,websocket-server-5f4f67c6f4-vrqjr,0
1772360093,websocket-server-5f4f67c6f4-xzbwh,0
1772360098,websocket-loadgen-97prs,44
1772360098,websocket-server-5f4f67c6f4-45fb2,134
1772360098,websocket-server-5f4f67c6f4-65l82,137
1772360098,websocket-server-5f4f67c6f4-87z6g,130
1772360098,websocket-server-5f4f67c6f4-8g2fl,122
1772360098,websocket-server-5f4f67c6f4-96fbm,143
1772360098,websocket-server-5f4f67c6f4-dgcgd,158
1772360098,websocket-server-5f4f67c6f4-hd5jb,121
1772360098,websocket-server-5f4f67c6f4-kfn6d,131
1772360098,websocket-server-5f4f67c6f4-vrqjr,0
1772360098,websocket-server-5f4f67c6f4-xzbwh,0
1772360103,websocket-loadgen-97prs,44
1772360103,websocket-server-5f4f67c6f4-45fb2,134
1772360103,websocket-server-5f4f67c6f4-65l82,137
1772360103,websocket-server-5f4f67c6f4-87z6g,130
1772360103,websocket-server-5f4f67c6f4-8g2fl,122
1772360103,websocket-server-5f4f67c6f4-96fbm,143
1772360103,websocket-server-5f4f67c6f4-dgcgd,158
1772360103,websocket-server-5f4f67c6f4-hd5jb,121
1772360103,websocket-server-5f4f67c6f4-kfn6d,131
1772360103,websocket-server-5f4f67c6f4-vrqjr,0
1772360103,websocket-server-5f4f67c6f4-xzbwh,0
1772360108,websocket-loadgen-97prs,43
1772360108,websocket-server-5f4f67c6f4-45fb2,125
1772360108,websocket-server-5f4f67c6f4-65l82,157
1772360108,websocket-server-5f4f67c6f4-7w5zm,40
1772360108,websocket-server-5f4f67c6f4-87z6g,154
1772360108,websocket-server-5f4f67c6f4-88jgf,37
1772360108,websocket-server-5f4f67c6f4-8g2fl,117
1772360108,websocket-server-5f4f67c6f4-96fbm,157
1772360108,websocket-server-5f4f67c6f4-dgcgd,122
1772360108,websocket-server-5f4f67c6f4-hd5jb,116
1772360108,websocket-server-5f4f67c6f4-k82hd,35
1772360108,websocket-server-5f4f67c6f4-kfn6d,155
1772360108,websocket-server-5f4f67c6f4-vrqjr,0
1772360108,websocket-server-5f4f67c6f4-xhx94,49
1772360108,websocket-server-5f4f67c6f4-xzbwh,0
1772360108,websocket-server-5f4f67c6f4-z5ftb,44
1772360113,websocket-loadgen-97prs,43
1772360113,websocket-server-5f4f67c6f4-45fb2,125
1772360113,websocket-server-5f4f67c6f4-65l82,157
1772360113,websocket-server-5f4f67c6f4-7w5zm,40
1772360113,websocket-server-5f4f67c6f4-87z6g,154
1772360113,websocket-server-5f4f67c6f4-88jgf,37
1772360113,websocket-server-5f4f67c6f4-8g2fl,117
1772360113,websocket-server-5f4f67c6f4-96fbm,157
1772360113,websocket-server-5f4f67c6f4-dgcgd,122
1772360113,websocket-server-5f4f67c6f4-hd5jb,116
1772360113,websocket-server-5f4f67c6f4-k82hd,35
