LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-bdtsg       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-97pdg       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-prgtp       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-4z94b       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-c95dr       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-djdsc       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-dvlxx       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-l4fmp       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-fcdxt       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-j2rgl       Stopping container cpu-http
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-97pdg       Readiness probe failed: Get "http://10.244.1.16:8080/healthz": dial tcp 10.244.1.16:8080: connect: connection refused
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-8fv28       Readiness probe failed: Get "http://10.244.3.14:8080/healthz": read tcp 10.244.3.1:42582->10.244.3.14:8080: read: connection reset by peer
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-c95dr       Readiness probe failed: Get "http://10.244.2.17:8080/healthz": dial tcp 10.244.2.17:8080: connect: connection refused
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-fcdxt       Readiness probe failed: Get "http://10.244.3.17:8080/healthz": dial tcp 10.244.3.17:8080: connect: connection refused
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-k42k5       Readiness probe failed: Get "http://10.244.3.15:8080/healthz": dial tcp 10.244.3.15:8080: connect: connection refused
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-rrn7s       Readiness probe failed: Get "http://10.244.3.16:8080/healthz": dial tcp 10.244.3.16:8080: connect: connection refused
53m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-xc2t2       Readiness probe failed: Get "http://10.244.2.16:8080/healthz": dial tcp 10.244.2.16:8080: connect: connection refused
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-v9lp7
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-5cppb
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-dfkkv
53m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-6q6qf
53m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 0 to 4
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-v9lp7       Container created
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-6q6qf       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-5cppb       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-5cppb       Container created
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-5cppb       Container started
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-dfkkv       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-dfkkv       Container created
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-v9lp7       Container started
53m         Normal    Created                        pod/cpu-app-bcc7f4b9c-6q6qf       Container created
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-6q6qf       Container started
53m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-v9lp7       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
53m         Normal    Started                        pod/cpu-app-bcc7f4b9c-dfkkv       Container started
52m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/cpu-hpa   unable to get metric http_requests_per_second: no metrics returned from custom metrics API
52m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get pods metric value: unable to get metric http_requests_per_second: no metrics returned from custom metrics API
51m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 4 to 6
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 6; reason: pods metric http_requests_per_second above target
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-4lx7p
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-6nwdm
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-6nwdm       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-4lx7p       Container created
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-4lx7p       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-4lx7p       Container started
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-6nwdm       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-6nwdm       Container created
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-8zl7g
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 7; reason: pods metric http_requests_per_second above target
51m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 6 to 7
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-8zl7g       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-8zl7g       Container created
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-8zl7g       Container started
50m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-j5cm6
50m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 7 to 8
50m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 8; reason: pods metric http_requests_per_second above target
50m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-j5cm6       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
50m         Normal    Created                        pod/cpu-app-bcc7f4b9c-j5cm6       Container created
50m         Normal    Started                        pod/cpu-app-bcc7f4b9c-j5cm6       Container started
49m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-dfkkv       Readiness probe failed: Get "http://10.244.3.18:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-wd5wk       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-wd5wk       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 8 to 11
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-fp2mg       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-8ntj7       Container created
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 11; reason: pods metric http_requests_per_second above target
48m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-8ntj7
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-fp2mg       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-8ntj7       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-fp2mg       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-8ntj7       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-wd5wk       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-s8htn       Container created
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-8gbmp       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-8gbmp       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-stxjp       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-vd8gj       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 11 to 20
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-s8htn       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 20; reason: pods metric http_requests_per_second above target
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-9d2g5       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-s8htn       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-hwrvt       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-cfwwj       Container started
