timestamp,pod,cpu,memory
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-rv697,135m,14Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-s2pth,127m,15Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-v7glh,26m,14Mi
2026-02-25T17:12:25+05:30,cpu-app-bcc7f4b9c-zbxdz,124m,15Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-ff9dx,130m,15Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-gz25f,93m,15Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-gzq87,38m,15Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-j6mlj,114m,15Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-j7sdn,98m,15Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-m89wf,37m,13Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-m9jjs,140m,13Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-rjmsz,24m,13Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-rv697,135m,14Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-s2pth,127m,15Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-v7glh,26m,14Mi
2026-02-25T17:12:30+05:30,cpu-app-bcc7f4b9c-zbxdz,124m,15Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-ff9dx,130m,15Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-gz25f,93m,15Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-gzq87,38m,15Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-j6mlj,114m,15Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-j7sdn,98m,15Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-m89wf,37m,13Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-m9jjs,140m,13Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-rjmsz,24m,13Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-rv697,135m,14Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-s2pth,127m,15Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-v7glh,26m,14Mi
2026-02-25T17:12:35+05:30,cpu-app-bcc7f4b9c-zbxdz,124m,15Mi
2026-02-25T17:12:40+05:30,cpu-app-bcc7f4b9c-ff9dx,130m,15Mi
2026-02-25T17:12:40+05:30,cpu-app-bcc7f4b9c-gz25f,93m,15Mi
2026-02-25T17:12:40+05:30,cpu-app-bcc7f4b9c-gzq87,38m,15Mi
2026-02-25T17:12:40+05:30,cpu-app-bcc7f4b9c-j6mlj,114m,15Mi
2026-02-25T17:12:40+05:30,cpu-app-bcc7f4b9c-j7sdn,98m,15Mi
2026-02-25T17:12:40+05:30,cpu-app-bcc7f4b9c-m89wf,37m,13Mi
2026-02-25T17:12:40+05:30,cpu-app-bcc7f4b9c-m9jjs,140m,13Mi
