LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
36m         Warning   BackOff                        pod/cpu-app-f5984b7b8-979qd       Back-off restarting failed container cpu in pod cpu-app-f5984b7b8-979qd_default(6808eff0-e8d4-424a-9acf-8d704f649b94)
36m         Warning   BackOff                        pod/cpu-app-f5984b7b8-gfzvw       Back-off restarting failed container cpu in pod cpu-app-f5984b7b8-gfzvw_default(fe04bb1c-8b60-4540-a95b-5343fec01b33)
36m         Warning   BackOff                        pod/cpu-app-f5984b7b8-hpxbk       Back-off restarting failed container cpu in pod cpu-app-f5984b7b8-hpxbk_default(70add924-bb78-4f5d-8a37-763b65bec1e1)
36m         Warning   BackOff                        pod/cpu-app-f5984b7b8-2k5nk       Back-off restarting failed container cpu in pod cpu-app-f5984b7b8-2k5nk_default(8e32c9a4-20ff-4591-bbbc-138094f7ae78)
36m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
36m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/cpu-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
34m         Normal    Scheduled                      pod/cpu-app-7644f97777-6gkxz      Successfully assigned default/cpu-app-7644f97777-6gkxz to kind-worker2
34m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-6gkxz
34m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-cgh4r
34m         Normal    Scheduled                      pod/cpu-app-7644f97777-cgh4r      Successfully assigned default/cpu-app-7644f97777-cgh4r to kind-worker3
34m         Normal    Scheduled                      pod/cpu-app-7644f97777-lrjr7      Successfully assigned default/cpu-app-7644f97777-lrjr7 to kind-worker3
34m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 4
34m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-lrjr7
34m         Normal    Scheduled                      pod/cpu-app-7644f97777-7mwm6      Successfully assigned default/cpu-app-7644f97777-7mwm6 to kind-worker
34m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-7mwm6
34m         Normal    Pulled                         pod/cpu-app-7644f97777-7mwm6      Successfully pulled image "polinux/stress" in 1.63s (1.63s including waiting). Image size: 4041495 bytes.
34m         Normal    Pulled                         pod/cpu-app-7644f97777-6gkxz      Successfully pulled image "polinux/stress" in 1.936s (1.936s including waiting). Image size: 4041495 bytes.
