LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
11m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-jpb66       Successfully assigned default/cpu-app-bcc7f4b9c-jpb66 to kind-worker3
59m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-btlgz       Readiness probe failed: Get "http://10.244.3.7:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
59m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-d549j       Readiness probe failed: Get "http://10.244.2.4:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
58m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-vsfnp       Readiness probe failed: Get "http://10.244.2.11:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-fw8qn       Readiness probe failed: Get "http://10.244.2.8:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-29phc       Readiness probe failed: Get "http://10.244.3.6:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-qxfn7       Readiness probe failed: Get "http://10.244.2.7:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
55m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-8bm5p       Readiness probe failed: Get "http://10.244.2.9:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
55m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-c5t7h       Readiness probe failed: Get "http://10.244.1.9:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
55m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-dkzt8       Readiness probe failed: Get "http://10.244.1.6:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
55m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-q5pcf       Readiness probe failed: Get "http://10.244.3.8:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
53m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-ff5ms       Stopping container cpu-http
53m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-ztbc2       Stopping container cpu-http
53m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled down replica set cpu-app-bcc7f4b9c from 24 to 4
