timestamp,pod,cpu,memory
2026-02-17T16:45:39+05:30,cpu-app-bcc7f4b9c-76mgc,163m,13Mi
2026-02-17T16:45:39+05:30,cpu-app-bcc7f4b9c-flzbr,162m,15Mi
2026-02-17T16:45:39+05:30,cpu-app-bcc7f4b9c-gpqmv,147m,14Mi
2026-02-17T16:45:39+05:30,cpu-app-bcc7f4b9c-h8885,168m,13Mi
2026-02-17T16:45:39+05:30,cpu-app-bcc7f4b9c-qv4zq,99m,13Mi
2026-02-17T16:45:44+05:30,cpu-app-bcc7f4b9c-76mgc,163m,13Mi
2026-02-17T16:45:44+05:30,cpu-app-bcc7f4b9c-flzbr,162m,15Mi
2026-02-17T16:45:44+05:30,cpu-app-bcc7f4b9c-gpqmv,147m,14Mi
2026-02-17T16:45:44+05:30,cpu-app-bcc7f4b9c-h8885,168m,13Mi
2026-02-17T16:45:44+05:30,cpu-app-bcc7f4b9c-qv4zq,99m,13Mi
2026-02-17T16:45:49+05:30,cpu-app-bcc7f4b9c-76mgc,163m,13Mi
2026-02-17T16:45:49+05:30,cpu-app-bcc7f4b9c-flzbr,162m,15Mi
2026-02-17T16:45:49+05:30,cpu-app-bcc7f4b9c-gpqmv,147m,14Mi
2026-02-17T16:45:49+05:30,cpu-app-bcc7f4b9c-h8885,168m,13Mi
2026-02-17T16:45:49+05:30,cpu-app-bcc7f4b9c-qv4zq,99m,13Mi
2026-02-17T16:45:54+05:30,cpu-app-bcc7f4b9c-76mgc,163m,13Mi
2026-02-17T16:45:54+05:30,cpu-app-bcc7f4b9c-flzbr,162m,15Mi
2026-02-17T16:45:54+05:30,cpu-app-bcc7f4b9c-gpqmv,147m,14Mi
2026-02-17T16:45:54+05:30,cpu-app-bcc7f4b9c-h8885,168m,13Mi
2026-02-17T16:45:54+05:30,cpu-app-bcc7f4b9c-qv4zq,99m,13Mi
2026-02-17T16:45:59+05:30,cpu-app-bcc7f4b9c-76mgc,163m,13Mi
2026-02-17T16:45:59+05:30,cpu-app-bcc7f4b9c-flzbr,162m,15Mi
2026-02-17T16:45:59+05:30,cpu-app-bcc7f4b9c-gpqmv,147m,14Mi
2026-02-17T16:45:59+05:30,cpu-app-bcc7f4b9c-h8885,168m,13Mi
